epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.999,1.32138,2.35601,1.36897,0.62104,0.58815,0.58946,0.36192,1.19297,33.8306,1.28714,0.000368561,0.000368561,0.000368561
2,311.2,1.31332,1.46606,1.33113,0.70043,0.38245,0.41951,0.2493,1.38354,124.984,1.46614,0.000702319,0.000702319,0.000702319
3,462.222,1.34109,1.2929,1.35789,0.66848,0.44509,0.50475,0.30717,1.32457,164.763,1.38326,0.000999414,0.000999414,0.000999414
4,612.588,1.32161,1.18978,1.33694,0.79497,0.66635,0.77204,0.50197,1.14399,20.1392,1.23154,0.000946016,0.000946016,0.000946016
5,762.701,1.28075,1.08796,1.31262,0.72752,0.64762,0.69445,0.44968,1.13221,103.656,1.20962,0.000891022,0.000891022,0.000891022
6,912.625,1.23867,1.01225,1.28501,0.83568,0.72456,0.80523,0.5433,1.07998,13.7689,1.18976,0.000836027,0.000836027,0.000836027
7,1062.85,1.2109,0.96528,1.26962,0.79076,0.73731,0.78677,0.51598,1.08946,11.5167,1.18695,0.000781033,0.000781033,0.000781033
8,1212.79,1.18888,0.92089,1.25443,0.86714,0.766,0.84165,0.57396,1.03274,3.22726,1.14799,0.000726038,0.000726038,0.000726038
9,1363.35,1.17635,0.89066,1.24673,0.83349,0.76401,0.82123,0.5742,1.0336,29.3852,1.15993,0.000671044,0.000671044,0.000671044
10,1513.98,1.15453,0.86645,1.22785,0.86894,0.75112,0.83056,0.58307,1.01157,6.03896,1.12272,0.000616049,0.000616049,0.000616049
11,1666.29,1.14357,0.74662,1.22867,0.87555,0.7919,0.8662,0.61666,0.97046,4.89729,1.0985,0.000561055,0.000561055,0.000561055
12,1815.62,1.11298,0.70752,1.20729,0.91129,0.8301,0.8865,0.64138,0.96568,6.21062,1.07835,0.00050606,0.00050606,0.00050606
13,1964.72,1.0981,0.67743,1.19595,0.89002,0.81238,0.87765,0.63279,0.97022,15.3691,1.09248,0.000451066,0.000451066,0.000451066
14,2114.44,1.08354,0.65763,1.18563,0.91195,0.82642,0.89004,0.66066,0.92687,7.16027,1.05499,0.000396071,0.000396071,0.000396071
15,2263.82,1.06307,0.63984,1.17369,0.88025,0.83399,0.87975,0.65099,0.93133,3.52787,1.0537,0.000341077,0.000341077,0.000341077
16,2413.06,1.04839,0.61654,1.15892,0.93489,0.8314,0.89972,0.66972,0.90751,4.57226,1.03708,0.000286083,0.000286083,0.000286083
17,2562.18,1.03318,0.59184,1.14917,0.92683,0.83007,0.89802,0.6729,0.89777,3.77136,1.02826,0.000231088,0.000231088,0.000231088
18,2711.18,1.01789,0.57954,1.14133,0.93616,0.84897,0.90645,0.68549,0.88812,3.05378,1.02229,0.000176094,0.000176094,0.000176094
19,2860,1.00542,0.56111,1.13058,0.94773,0.84395,0.91245,0.68719,0.88316,4.86586,1.01769,0.000121099,0.000121099,0.000121099
20,3008.91,0.98983,0.54178,1.12198,0.9239,0.86222,0.9144,0.69611,0.87278,3.16777,1.00852,6.61045e-05,6.61045e-05,6.61045e-05
